id,lang,label
s025d159aba4a08c2,C++,27 31
s026709c4a582f005,C++,46
s026e97671f80eec8,C++,20
s027287cbd6cd6a76,C++,15 112
s028ddd1379746c55,Python,1
s02a501a4d4aaed36,C++,6
s02b0a753a770c0cf,Python,9
s02b1e074ccb2bf02,Python,32
s02b21b1c7755c9b6,C++,20
s02b74a57e8d2e3ef,C++,18
s02c2d474cbb2c800,C++,55
s02d72da18c20e2dd,C++,49 52
s02e2070340f8c76d,C++,26
s02e3100fbaeede9e,Python,16
s02e79cac75fa8a46,C++,65
s02f0878348401ef1,C++,15
s02f735f6ec6bf772,Python,21
s02fa616675b6a9dc,C++,6
s031582b911b91e4f,C++,27
s0316243c20515b6a,C++,74
s03172eabd67a9108,Python,29 30
s031cda910935ba94,C++,40
s032217f0c34e9bd9,C++,58
s0329123702ddecab,Python,9
s032a58924256f632,C++,75 106 108
s0334ad90b35bf74e,C++,29
s03410845e52dac8d,Python,3 54
s03413c04ff2127ac,C++,62
s0348cb555215a602,C++,28 30
s0349331b2bdecd85,C++,16
s035b542de11ae9ad,Python,10
s0365f8d381786e6e,C++,7
s0377748f707b3a37,C++,5
s03781eae736e44cb,Python,3
s037a1de1957680ca,C++,22
s038afca586b880b4,C++,5
s03979dd4e63f45ec,C++,20
s039c15aa29d2465c,C++,16
s03a5e53ff024e3a6,C++,29 34
s03a983427fe5306d,C++,51
s03abc5d313713429,C++,49
s03b694be1367adf8,C++,9
s03be98dd2299c46d,Python,3
s03c6de3e702f1a88,C++,63
s03c75dc18ef3af0a,Python,6
s03cbb10f7f6b1198,C++,74 87
s03d42a9bfd5af991,Python,25
s03da6ea43acfbe72,Python,3
s03dd2ac51a3cf509,C++,53
s03ed35467421cc29,C++,26
s03edb3d9456cb602,C++,6
s03f11e17014a5cb0,C++,86 89
s03f779d205a82375,C++,66
s03fd0a8c38ff2aca,Python,11
s0404eece282b1c50,Python,9 11
s04051c59aa93f11a,Python,1
s04170397bb8bdda0,C++,22
s0418d8397201f292,C++,15
s0419147b04741c48,C++,23
s0429c5743f142951,C++,8
s0429f896af8b942a,Python,9
s042f6bdb3fb5ad92,C++,23 24
s043f78ca5aea8af4,C++,26
s045b3e46a6c9491f,C++,56
s045ce5ae127faf1b,Python,5
s047124eb6a8e477b,C++,55 56
s047954edfbf96f91,Python,10
s04956226f401bd38,Python,3
s0495bbce189352a1,C++,45
s04a04a4d8cfa747c,C++,3
s04a4585985c36ba7,Python,18
s04ae5f4ec8be1fc0,C++,7
s04aecd8422ad5e90,Python,4
s04b01b440220abb3,C++,30
s04bbcf3fe222e2a1,C++,45
s04cbb943add7f0a0,C++,9
s04e33f030b9b8c3d,C++,53
s04e7fd4dc155773a,C++,32
s04f1981cf22f33b9,Python,20
s04f214f558ab6ae1,C++,48 49 53
s04fc4713129523bd,C++,24
s0503068e0ac75f7d,C++,4
s05067778c2648efd,C++,8
s050e550d077c925c,C++,73
s050f8ba327f35cef,Python,1 8
s05191f41ddc766c8,Python,12
s0529cb972f870291,C++,56
s0546a7df2a47b937,C++,27
s0548893f85b5caa3,C++,9
s0549c74d013544a0,C++,28
s0566801a98c837fb,C++,9
s057ee1e27c760804,Python,7
s0587369ae4daae1e,C++,52
s058e8a5d686e7d05,C++,21
s0599b418936d85f7,C++,22
s05af6593db118487,C++,108
s05b312c180f9cefe,Python,9
s05b61c1943423bb6,C++,23
s05b711af68d35765,C++,16
s05c041f6768aea6c,C++,16
s05c2e6346f26fcf1,C++,23
s05c4df2b6ff55276,Python,7
s05cd08691354cdb6,Python,20
s05e076fd175e92e9,Python,3
s05e2eaa2d0035f21,C++,33
s05e3de5694a54016,C++,7
s05ee549a0b8265fd,C++,7
s05ef0697d8717e1c,C++,12
s05fd27a2d04e14f8,C++,62
s06023dd88435e98b,C++,93
s06064c1a2147d118,C++,51
s0609c777335c7b19,C++,29
s060c4b4390792b11,C++,32 41
s0619e9867c2cbaff,Python,8
s061e0bfd34726353,C++,38
s062dd376f91fb416,Python,4
s063d81b7d4a352c7,C++,25
s064b4584f798d73a,Python,37
s06519a3c723f7774,Python,8 9
s0651b1e273b66459,C++,35 38 43
s0665d92a21221863,Python,5
s06707c82d468dbaf,Python,14
s0677232e93176139,C++,13
s067c65c67443569e,C++,24 30
s068df4cfcfc17bcf,Python,6
s068e8f106d1bdf40,C++,63
s0692d218319cab12,Python,1 2
s069401a070977e59,Python,9
s06a0d5b66e108cba,C++,70
s06a57b22f2264c97,C++,15
s06a5e07b18710f75,Python,35
s06ab1cb1b83f3161,C++,27
s06addfc1d282e342,C++,8
s06b45778cd123dcc,C++,5
s06b74329fd89d5a6,C++,10
s06b8564170faaac2,C++,55
s06c28986de337780,Python,12
s06cd4a8a62fbad8b,C++,10
s06d54cc8cfa517c0,C++,17
s06d5ceecf0ff900e,C++,49 50 52
s06d6be489a94f635,Python,16
s06e085191d30c6b3,Python,6
s06e58b5d21a547c2,C++,59
s06ea3e15b20535e2,Python,3
s06ec48727eaf6830,Python,16
s06f7fc5687a55ee9,Python,8
s06fc68719c45bc89,C++,26
s07039251417a1f81,C++,14
s0706ae141f47a051,C++,12
s070c255b525bd467,C++,35
s070c4c40d3462928,C++,46
s070dd0bc7a9957fc,Python,25
s071559984f66507b,Python,2
s07256b88ebf629fa,Python,6
s072746868491ef5a,C++,60
s0728c4d3f450e7cf,C++,7
s07294e5e65912d45,C++,16 27
s072ef74eb808345f,Python,3
s07331683a877ab4d,C++,47
s074a2bedb4f3e491,Python,5
s074eac0e13d57349,C++,26
s0750b53b28445889,Python,3
s07618cc9df2657d5,C++,36
s0763f6b77dbbcb52,C++,13
s0779238b4205b314,C++,45
s077b378e07f46d65,C++,20
s077d490bc3497fd3,C++,64
s077d49b2dba5a65b,Python,4
s078f8949c7288a47,C++,21
s07c884479e02a43f,Python,9
s07dc2bbdc8bc5906,Python,4
s07dd0579a8ab1baa,C++,40
s07e5acea11fe22c7,Python,8
s07ed6876f6ebc1e8,C++,4
s07f98ddc9a222284,C++,10
s0800b7960dd5a6bf,C++,71
s08063299aa835f81,C++,47
s080d99efe7384114,C++,60
s080db1a12e6650c2,C++,81 103
s080ee7b0fd06aa2f,C++,78
s0812ea571c1ad5d0,Python,21
s08138f98c59b8774,C++,62 65
s0814165fc1dfe1fb,Python,84 85
s08144a62646e5122,C++,18
s0818bf7013200569,Python,3 4
s083fc56ab3060b7a,Python,1
s0843b25f28caf0e1,Python,4 34
s084459a37a8c265f,C++,37
s084c28e819c54b42,Python,15
s084ce4fcb3e6a493,C++,47
s0853fbde7c68b47c,C++,24
s08591fd3536f1161,C++,38
s085ad5e514cac13f,C++,22
s08638ec7a7132c42,C++,59
s0868f385839a53f1,C++,32
s086c04ee73a6a313,C++,14
s08725c7db32f3c59,Python,36
s087336281ea7a862,C++,7
s08817660fedc5607,C++,21
s08832cded5626b71,C++,23
s0890515caea757ed,C++,23
s08932bbed7516c78,C++,49
s08969cbec0397a85,C++,6 7
s08c890dc0d610c00,Python,6
s08d9e8434cfc5e90,C++,21
s08e6e7bd72645fdf,C++,43
s08e79ae6d887f28e,C++,77
s09039ebe44dd17df,C++,48
s09060e6757a7962b,C++,91
s090959e618bdbfea,C++,30
s0937bc93039de6b7,C++,21
s096571484afa1522,C++,9
s09805ec0f7e034b1,Python,89 90
s098c8ea8c95bacc7,C++,25
s09a5b7f1e70f0ba9,Python,43
s09a9abfc064f087e,C++,27
s09ad67cb7f59801a,C++,34 47 50
s09b93d23e2f7d166,C++,79
s09cd8ea70d0118f7,Python,16
s09d5de66765dbda1,C++,28
s09e9ea04db736725,Python,9 11
s09ea8a0e35b3ab1f,C++,11
s09f1bbbebcf9690a,C++,7
s09f1d6c8f75225a8,C++,3
s0a08e3568d65cc3e,Python,13
s0a1714002a5aa075,C++,15
s0a2bbf87ff10d575,C++,18
s0a3a96e94783a349,Python,1
s0a488702ce823be0,Python,26
s0a48ac20aabd7f4a,C++,15
s0a4c4e0b3519fa8e,Python,14
s0a517d6db2b1cd29,C++,46
s0a51dcf5876ae911,C++,28 29
s0a58436b02c02f38,C++,38
s0a604da0cdead1be,C++,61
s0a657a66105ad16b,Python,2
s0a6671e2d6fbaf84,C++,85
s0a68edebf2e259f3,C++,4 6
s0a814cedbe1f43eb,Python,3
s0a8952aa61dad093,C++,39
s0a8df897375c1cfc,C++,23
s0a90113f737bdc22,Python,11
s0a9c4e9458b17461,C++,69 70
s0aa559fd8702f043,C++,18
s0aa7f22c2154f11e,C++,22
s0aa8d13aded29429,Python,36 38
s0ab3cbd24bc12bc2,Python,3
s0ab782e8ff27f096,C++,45
s0ada7af94019c97b,C++,26
s0aeb8959e0733ad5,C++,60
s0aec136ac456a17f,Python,18
s0afe105ca559b37a,C++,58
s0b04b0d4635fdd12,C++,7
s0b0e7f7f38b286c6,C++,43
s0b10262cd718d914,C++,8
s0b132aad7a518c85,C++,31
s0b186255f1b0d907,C++,7
s0b19e6d7c91c7142,Python,44
s0b1e482ca2c05d9d,Python,8
s0b250f46381673a2,Python,2
s0b2d9139b1b2be0e,Python,7
s0b3a0eb4dac1232a,C++,3
s0b3a2748af6ebb3e,C++,7
s0b4a451d25e3fbc8,Python,30
s0b512f8ffb2354b9,C++,52
s0b6c6f4aaf608cc3,C++,97
s0b6edbe1c14e11b4,C++,32 33
s0b7b5c1fc16d14d0,Python,2
s0b7c1b3d1dc003f1,Python,27
s0b7d43b804785cfc,C++,91
s0b81cf83868aa8cb,C++,22
s0b8240659a07d558,Python,18 26
s0b83ec164a7e6b2b,C++,16
s0b87ac10c4287fb2,C++,12
s0b95f7dcf5a7efa7,C++,6
s0b9db98be4fef969,C++,44 46
s0bab943622ecc1e1,C++,20
s0bb29b35e72a283a,C++,75
s0bb946075d3635dc,C++,10
s0bbbfb4f66063adb,C++,49
s0bc266845d10c74d,C++,30
s0bc8422d040a0670,C++,24
s0bc9fca31fd9ab60,C++,11
s0bd49d6b0cd9b97d,C++,93
s0be4e1698facff9d,C++,64 70 71
s0bea4990e5f6bcec,C++,80
s0bf4e58b64f6bcc9,Python,4
s0bf58290e9125986,Python,17 27
s0c00d6a457ef0f9c,C++,61
s0c08f9b47b108be9,C++,20
s0c2d32665a4322b4,Python,11 12
s0c559377196afdcd,C++,28
s0c62841c02bd732c,C++,102
s0c67866d6b4b1f1f,Python,9
s0c738fd1bbfe4768,C++,24
s0c7aa9c34e206ce2,C++,41
s0c87ce5c2d942a0a,C++,46 52
s0c92db6233f4f3df,C++,29
s0c931d1f58c51220,Python,4
s0c951af9f3fb5e6b,C++,26
s0cab725cd26b374f,Python,13
s0cd7f874ae8a44a5,C++,13
s0ce25923f0acfed3,Python,14
s0ce307353e59cc20,C++,62
s0ce3934ac50cd83c,Python,12
s0cee2cc8caec9ecd,C++,24
s0cf07d940df67e97,Python,3 5
s0d031bd82e5bc881,C++,58
s0d110ad0980554c4,C++,35
s0d14ea7c11064741,C++,28
s0d1993ec24fd3b62,C++,29
s0d19f3dd7834a9f5,C++,9
s0d42ecd67da69535,C++,35
s0d456833d151386c,C++,35
s0d4b3567b6f1c3bd,C++,9
s0d53184fb939df59,C++,45
s0d5dcbbe2c64d030,Python,1
s0d6bde3c29f5833a,C++,64
s0d729235b85e1e0a,C++,27
s0d7583b4e0a65e75,C++,40
s0d765346dba71d7c,C++,71
s0d823f2ebf846769,C++,68
s0d8262f5e1ee26b0,C++,32
s0d907ed85bf7dc8e,C++,36
s0da4395591d099fe,C++,16
s0da8280d19ca741d,C++,57
s0daa54eeefe0a046,C++,37
s0db1dca23c01f951,Python,2
s0db9ee72deb392f0,Python,22 28
s0dbda5a24213a2ae,C++,26 27
s0dd9ddb769712531,Python,1 2
s0ddafae838c3c062,C++,29
s0de43ede344c602e,Python,2
s0de51735425caa65,C++,72
s0dead456f97b3250,C++,58
s0df44d5d22a6dc35,Python,15
s0e0037a40bfef8e2,C++,9
s0e02a25fd3b6881d,C++,6 66
s0e0d3cbcacc9aec3,C++,13
s0e198df8a3853cfb,C++,18
s0e21282639e2e605,Python,76 80
s0e257fc980673287,C++,26
s0e34b5fa533b20f3,C++,15
s0e413aee345b98fe,C++,13
s0e4b1a8928df7042,C++,87
s0e56021a53308b04,Python,8
s0e65cc8a82853e66,C++,11
s0e6c7393496b47d5,C++,19
s0e813ac3b696ed61,C++,6
s0e863a98ac70d55a,C++,15
s0e980e8e38290d2e,Python,8
s0e9c7a4a05023a2b,C++,63
s0ea1faebf8cc0c45,C++,19
s0eaa7d8439ecaaec,Python,7 8
s0eaba610d3d17e95,C++,7
s0eaf7ee40cdc6dc4,C++,6
s0eb12c9cf1257b54,C++,47
s0ec0956c7813a41a,Python,6
s0ed5afed8f45cc45,C++,67
s0ee0963cbe98298d,Python,2
s0ee1dd12d9f32527,Python,10
s0eeffff542d3a08b,Python,13
s0ef278ed7d880899,C++,20
s0f073d0ffdb75061,Python,50
s0f1192ab53205f10,C++,6
s0f1bc528924aaaa0,Python,8
s0f204a6b6632b30e,C++,26
s0f34e06656f4c920,Python,6
s0f3f6c545cde0be2,Python,2
s0f415c7be18244bd,C++,63
s0f41e0f2b35cb9d4,Python,76
s0f4a0a10c206c8f7,Python,11
s0f578424d5c64e17,C++,15
s0f5b8fc9f75c622d,C++,63
s0f664018a4fd1377,Python,4 5 8
s0f680307d8b2bc3b,C++,7
s0f7de4b5ddc819f7,Python,7 18
s0f8036fb124c6366,C++,65
s0f837018a778ea2e,C++,55
s0f8c350395923fda,Python,6
s0f8e8ac718d9cc11,Python,27
s0f920af8568c58bd,Python,2
s0f93b97f290163b3,C++,76 78
s0f94477dcffb67c1,C++,9
s0f9944d3063c6de9,Python,20
s0f9a76382206d540,C++,2 23
s0f9dd102112cdace,C++,25
s0fa107eb084e335f,C++,15
s0fa8b4f2e68201a1,Python,72
s0fa8e5a70c9cdc6b,C++,42
s0faa6674539a041b,Python,11
s0faca1ec6bdb598b,C++,8
s0fb0c5f335801083,Python,4 5 6
s0fb1ce0954644483,C++,20
s0fb8b0c64a67e766,Python,14
s0fbfcf38f8e26787,C++,24
s0fc07cdcb66c0778,Python,2
s0fc174d0dc946e40,Python,21 22
s0fc74cf071e65360,Python,5
s0fded530c9a2afac,Python,10 13 14
s0fe0c35239e58706,C++,67
s0ffc4cefcb1acb0b,C++,20
s1003325327bd791d,Python,64 68
s10074e6e995009c7,C++,14
s10075ccd8f32e95b,Python,7
s1008eb0d7fb3f6d7,C++,41
s1024fb10bb766228,Python,1
s1028e8acffbe3cc3,C++,94
s105a4b5ae373a3d5,C++,68
s105e51962acf2e5b,C++,34
s1060ffb5a7ad9ff5,Python,4
s1061a963fe2ad1cd,C++,8
s1068cd77ad674b51,Python,6
s107759296e321bdd,Python,34
s1083cda1e4b16d49,C++,13
s1084c847d357000a,C++,21
s10880e8bb1c95bbb,C++,79
s10a13b27c292796e,C++,42
s10ae9498043062c3,C++,7
s10c3be564237d609,Python,9
s10c428dc49d06b89,C++,19
s10cddbf147ec52fd,C++,4
s10d2f312b0f4edbf,C++,44
s10d41fe88fbf1b58,Python,8
s10e58c29281f2878,C++,34 36
s10e6a84fba7b8b74,Python,8 9
s10eec664113a2a86,C++,21 26 27
s10f8e54e8b398ef3,Python,28
s10fd0aabc1980291,C++,16
s10fdb97517211b29,C++,23
s110662c2c47919ef,Python,8
s110a954e47b2f6e5,C++,15
s110aae14e9de3fc6,C++,41
s113c005fcc489986,C++,38
s1140c82ca7095281,Python,2
s115281c114b326d7,Python,13
s11536f18f5f5d3b7,C++,35
s116001736084e14a,C++,74
s11638d6731007176,C++,7
s11842a0d911c7847,Python,22 24 39
s1188aad88ad4c48d,C++,33
s11914eefdab1bfb7,C++,47
s119bbd76c19ab274,C++,37
s119e3287fcca0f54,C++,49
s11bccc32698b2213,C++,25
s11ced46e58b65fc8,C++,17
s11d0f0f5e4d1a87c,C++,97
s11d65cc43fcdb8c3,C++,70
s11ead7e1b77321ba,C++,33
s11f391969398b8ad,C++,23
s122245f51ff9f02b,Python,6
s1228d418667f42c4,Python,6
s122ad51d80a7fdce,C++,7
s122c2db7834e650e,Python,9
s1234ce4cd1810405,Python,6
s123666940db12e12,Python,18
s123bdc953c08bd7f,Python,3
s124d31d02a9eac0b,Python,5
s125ba32a5a2bbf53,C++,20
s126472a2eeaf72a0,Python,11
s1284b196403e1d72,C++,22
s128c96dcb2ac9e8f,C++,10
s12a82dc41e0c84c1,C++,31
s12a8bb98269be683,C++,10 12
s12b3c8eedee2f0ee,Python,11
s12bad3e3bdb4dc85,C++,10 11
s12bafbaa6a42655c,C++,70
s12cacd2ec5232aee,C++,48
s12d213343585797a,C++,72
s12d91e6f5b1e8391,Python,4
s12e4825635d028d9,Python,10
s12e9779195c21852,Python,19 20
s12edc3764b7a798e,Python,48
s130525c049ab76be,C++,17
s131222e6cc1e5c6e,Python,39
s13128015d56ad79b,C++,15
s1314bda53c52454e,Python,2 11
s131dc57ef3bb7dec,C++,25
s131fe563ea0594c0,Python,38
s13250785a2d565b9,C++,31 54
s1326acd6819aa002,Python,17
s1329d7e472489036,C++,44
s132d5051c229114b,C++,48
s132df27407d11e2f,C++,11
s134021b74995ab45,Python,6
s135733a069bb1c28,C++,31
s1358cd8f64b12c95,C++,9
s135a4679ab854243,C++,57
s135adf68108fa932,C++,32
s13656c92fe5222f2,C++,29
s136db1af14026f81,C++,85 88
s137b1bb15f2786e5,Python,39 40
s137ff2e1982ae6aa,Python,2 3 4
s1380f6a5174757e7,Python,77
s138665b5c06d956a,Python,4 6
s1388dda0cddd2f9b,Python,5
s138913795acbc2f4,Python,7
s1398885122cc5be6,C++,21
s139eef2712c15925,Python,15
s13a006f2d149b497,C++,15
s13a7bae4750cb36a,C++,49
s13b29cb5b1d6f6f1,C++,42
s13b804e675d6ab36,Python,28
s13b952de4e777db9,C++,11
s13bfa3617f87c48a,C++,55
s13c55ee49406721f,Python,11
s13ce01bb9b4c5e2c,C++,101
s13f348e1634374f1,C++,88
s13f44a9704ed2745,C++,10
s13f80985b5488cf1,C++,21
s13fafd34b0dbc947,C++,55
s13fddb7ae3c1ff5a,C++,44 45
s1403b5c426e6045e,C++,9
s1415757c7936faaf,Python,6
s141caa6e451c4b9f,C++,7
s142586573e71a238,C++,14
s143b87aa2a12a613,C++,48
s1445ff0ef3c85964,C++,50
s144a8c66ab9772fd,C++,60
s146da3692e226769,C++,5
s1470c5ae03d84f22,Python,8
s1483ba47b0786dfe,Python,3
s148a961840508e2d,C++,24
s148f96392c30333c,Python,7
s1494fd35e8c3038d,Python,5
s149d1bcf360d28f0,Python,50
s149d7eba2da8658d,C++,54
s14ac710acecbf400,Python,1
s14b5c3405b8d1e32,C++,7
s14d3b753f30ea705,C++,60 61 64
s14d7604e9b1b2474,C++,16
s14daba558c84e7e9,C++,13
s14dc24083b368b94,C++,49
s14dd5a65c026ab6c,Python,13
s14e6cc20cbc4dab8,Python,10
s1509873684fa3b80,C++,15 84 93
s150f2273299b00e5,C++,53
s1519d8f00a5f0c3a,C++,49
s151fe9dfa8282200,C++,20
s1526e725c5b300f0,C++,50
s152de300b8dc7f94,Python,57
s152fe32a9d6aac08,C++,63
s153c28748148995a,C++,18
s153ce0b8a3d91db3,C++,24
s1542021bf9877cc8,C++,43
s1544c70b071a42ae,C++,6
s15466948aca5835d,C++,93
s154bd6725e4ce20e,C++,36
s1555099742d8aa86,C++,17
s155d2506d1e0cc8e,C++,58
s1571972445f2281b,C++,62
s15847ec12dc81316,Python,6
s15921c5ea51fdfab,C++,57
s159649d155c12d33,C++,44
s15977fb679e12931,C++,4
s15a263ad70e0d6e7,Python,14
s15a923a73033bcc5,C++,16
s15b17a71bb080799,Python,3
s15c05372358612b8,C++,75
s15df1548e7ea34b8,Python,7
s15e180eb4f84cd33,C++,11 17
s15f694a0310e5832,C++,19
s15fa9281e3929ef5,C++,12
s1606a5068317ff1f,Python,32 39 40
s160e1e7ddb64eb3e,C++,11
s1610042681939a7f,Python,5
s16116e0927760cc8,Python,32
s161c728b45d7c1a8,C++,51 62
s161e24ea5f875258,Python,6
s162c4a490ff79c34,C++,98
s1630775b89f18432,C++,49
s16376af5b952e2ef,Python,38
s163fba88aad740cb,Python,6 7 8
s16417e85f68ad60b,C++,9
s164469bfb091b904,C++,34
s1647cd9d8703ab3e,Python,9
s165187e6cdc22917,Python,31
s1652a9a4ac99af42,C++,42
s165f0a4bcc389be9,C++,15
s1683f2201be3f6b2,Python,8
s1688003dd967bccf,C++,26
s168ad58a3c7e8cee,C++,60
s168c34d3bd4f9996,C++,15
s168d701c367f1ca7,C++,7
s1693d0d1b65cfa7c,C++,38
s169591d093e664a3,C++,17
s169cd6305e120da1,Python,19
s16aa542fb593cbfd,C++,33 35
s16abea26a2383036,C++,39
s16b0e122ab81dda9,C++,13
s16b2495089730c5d,C++,42
s16b517d815107252,C++,39
s16c3f29f42983896,C++,8
s16c5b1856a60841e,Python,39
s16ca9c85a7d4b908,C++,8
s16cc1a46f217aee2,C++,66
s16ce88f03a7c60c8,C++,13
s16d9bf064efbd746,C++,13
s16da6b49d907bbdc,Python,3 10 11
s16f0587f449c2504,C++,57 61
s16fde821a599c45f,C++,23
s170b7860348c10a3,Python,31
s1712658dc44e4aab,Python,5
s17132aeb241cfad2,C++,59
s17139ebc2b3937f7,C++,54 81
s172bd42bd7c6cf6f,C++,75
s174fb6d0eed6a369,C++,62
s1752c9b449788eba,C++,28
s175a68a8a48ee4cf,C++,15
s175f624343f0608c,C++,64
s176033013b451d64,Python,12
s176a87d44f72a667,C++,7
s177373b40a433ce5,Python,8
s177a6b14547236fd,Python,27
s177dfa60636d11c6,Python,1
s17808b8da39dea9a,C++,50
s1788c5eef751d015,C++,6
s17919d82b9d64cc4,C++,25
s1791d09b3d65118c,Python,3 4
s1792f7a5e1cf82fb,C++,19
s1793f2a7a2682275,Python,79 100 102
s1797d83948720865,Python,2
s179c412ae6d005e4,C++,3
s17a14f95b3439b07,Python,13
s17a9069273cfe60f,C++,9
s17ab8b214a853655,C++,53
s17c55564cf9433c5,C++,48
s17d992bbb38fe201,C++,14
s17de1dbdb88e6bf6,C++,47
s17e1fcfa2d098e5e,C++,79
s17e6f6fbc8753ea1,Python,6
s17ec1e775d16d098,Python,4
s17f9daa874a8385f,C++,27
s17fad4ddf720d602,C++,44
s18047753baf819d3,Python,9 10
s1804b79f57000aaf,C++,14
s1808e122c9ae2aff,Python,1
s1829fccb68ae8729,Python,2
s182af062de6b37f3,C++,34
s1836e0c84605f0e5,Python,7
s183a70d549d1ed82,C++,79
s184399e42c19801d,Python,11
s184a7bd1a7fb3834,Python,5
s185ebb38e48dbc05,C++,29
s18854b022579915a,C++,17
s1885f6348b67a612,Python,7
s188f6d94c6b2d7f5,C++,19
s1892d585ed2ca0af,C++,12
s1894a028483d6fa2,C++,30
s189685337f4da3b1,C++,18
s18a0faa2b840511a,C++,23
s18b4628aacd926d1,C++,10
s18c05eec42fbb3fc,C++,39
s18c88774abf4e1ae,C++,34
s18cbfcbae40eace8,C++,44
s18d36df277ee4295,C++,50
s18e0f47b8167518f,Python,8
s18e36c8345bf214c,C++,12
s18f07bf9ca797c26,C++,26 59
s18fa5d4b5b6c4a84,Python,3
s1900139c3299914d,C++,24
s190aa9dae8c7807f,C++,32
s19112fbe95919ff7,Python,3
s191585d47616e4ea,C++,50
s1916c52379cbd44d,C++,15
s1919a986955df592,C++,13
s191aa87b124458c7,C++,22
s193adc95f48342b0,Python,31
s194239f822a9c7d2,C++,15
s19423bbe02a749f2,Python,1
s195634cfa6ad2981,Python,6
s19622f6a657b2851,Python,78 90
s1962ad837ac196e9,Python,2
s1976ff02bcb3fd5e,Python,8
s198af6267feffbb0,C++,15
s19bc837c5d4a8cab,Python,24
s19c5356befb0d87e,C++,26
s19c5887c02e98663,C++,22
s19c6608d6c76eee4,C++,24
s19c7a3676cb8e48a,C++,23
s19c901d434744dd0,Python,2 8
s19cb57d244db5e72,Python,9 16
s19d576a1af54d314,Python,2
s19e085a20e2781a6,C++,43
s19f2c79581909b9b,C++,6
s19f68f1609105d2d,Python,14
s19f95d1b7c9c9fc5,C++,16
s19fac65a6f1b5a22,C++,42 44
s19fef90edac3245b,C++,46 60
s1a04e58ab1fc377b,Python,25
s1a0655bfbecc4a4b,Python,12
s1a12f44ce40d41dd,Python,4 5
s1a17108c65471d76,C++,8 9
s1a1d9ce61b4060fe,C++,21
s1a336d784fbc524a,Python,3
s1a3915c8d4cb40eb,C++,70
s1a57143e7d91baf7,Python,16
s1a687586d34eccb2,C++,3
s1a6e1f07c195ce05,C++,69 72 74
s1a742045a2dfb31b,C++,9
s1a7acd3c6219ba25,C++,9
s1a9274bb6513b7fb,Python,6
s1a9815df1ad3b77b,C++,15
s1a9b5cfd2cb36afb,C++,53
s1aaa27e4ef80dfa9,C++,84
s1aab86ae294b0c9d,C++,14
s1ab0c129a9003f7f,C++,19 35
